country,year,population,latitude,longitude
Austria,1807,3124310,47.516231,14.550072
Austria,1819,3349015,47.516231,14.550072
Austria,1820,3367266,47.516231,14.550072
Austria,1821,3385004,47.516231,14.550072
Austria,1822,3402223,47.516231,14.550072
Austria,1823,3418916,47.516231,14.550072
Austria,1824,3435691,47.516231,14.550072
Austria,1825,3452549,47.516231,14.550072
Austria,1826,3469489,47.516231,14.550072
Austria,1827,3486512,47.516231,14.550072
Austria,1828,3503619,47.516231,14.550072
Austria,1829,3520820,47.516231,14.550072
Austria,1830,3538115,47.516231,14.550072
Austria,1831,3555505,47.516231,14.550072
Austria,1832,3572991,47.516231,14.550072
Austria,1833,3590572,47.516231,14.550072
Austria,1834,3608240,47.516231,14.550072
Austria,1835,3625995,47.516231,14.550072
Austria,1836,3643838,47.516231,14.550072
Austria,1837,3661768,47.516231,14.550072
Austria,1838,3679786,47.516231,14.550072
Austria,1839,3698789,47.516231,14.550072
Austria,1840,3718786,47.516231,14.550072
Austria,1841,3739787,47.516231,14.550072
Austria,1842,3761804,47.516231,14.550072
Austria,1843,3784847,47.516231,14.550072
Austria,1844,3808031,47.516231,14.550072
Austria,1845,3831357,47.516231,14.550072
Austria,1846,3854826,47.516231,14.550072
Austria,1847,3878438,47.516231,14.550072
Austria,1848,3902195,47.516231,14.550072
Austria,1849,3926782,47.516231,14.550072
Austria,1850,3952208,47.516231,14.550072
Austria,1851,3978557,47.516231,14.550072
Austria,1852,4005766,47.516231,14.550072
Austria,1853,4033846,47.516231,14.550072
Austria,1854,4062123,47.516231,14.550072
Austria,1855,4090598,47.516231,14.550072
Austria,1856,4119272,47.516231,14.550072
Austria,1857,4148148,47.516231,14.550072
Austria,1858,4177226,47.516231,14.550072
Austria,1859,4206120,47.516231,14.550072
Austria,1860,4234828,47.516231,14.550072
Austria,1861,4263344,47.516231,14.550072
Austria,1862,4291666,47.516231,14.550072
Austria,1863,4319789,47.516231,14.550072
Austria,1864,4348096,47.516231,14.550072
Austria,1865,4376588,47.516231,14.550072
Austria,1866,4405268,47.516231,14.550072
Austria,1867,4434135,47.516231,14.550072
Austria,1868,4463191,47.516231,14.550072
Austria,1869,4494618,47.516231,14.550072
Austria,1870,4528451,47.516231,14.550072
Austria,1871,4564726,47.516231,14.550072
Austria,1872,4603479,47.516231,14.550072
Austria,1873,4644745,47.516231,14.550072
Austria,1874,4686381,47.516231,14.550072
Austria,1875,4728390,47.516231,14.550072
Austria,1876,4770776,47.516231,14.550072
Austria,1877,4813542,47.516231,14.550072
Austria,1878,4856691,47.516231,14.550072
Austria,1879,4900094,47.516231,14.550072
Austria,1880,4943751,47.516231,14.550072
Austria,1881,4987664,47.516231,14.550072
Austria,1882,5031834,47.516231,14.550072
Austria,1883,5076262,47.516231,14.550072
Austria,1884,5121082,47.516231,14.550072
Austria,1885,5166298,47.516231,14.550072
Austria,1886,5211912,47.516231,14.550072
Austria,1887,5257930,47.516231,14.550072
Austria,1888,5304354,47.516231,14.550072
Austria,1889,5352740,47.516231,14.550072
Austria,1890,5403122,47.516231,14.550072
Austria,1891,5455532,47.516231,14.550072
Austria,1892,5510006,47.516231,14.550072
Austria,1893,5566579,47.516231,14.550072
Austria,1894,5623732,47.516231,14.550072
Austria,1895,5681471,47.516231,14.550072
Austria,1896,5739804,47.516231,14.550072
Austria,1897,5798736,47.516231,14.550072
Austria,1898,5858272,47.516231,14.550072
Austria,1899,5918417,47.516231,14.550072
Austria,1900,5979177,47.516231,14.550072
Austria,1901,6040558,47.516231,14.550072
Austria,1902,6102566,47.516231,14.550072
Austria,1903,6165209,47.516231,14.550072
Austria,1904,6228494,47.516231,14.550072
Austria,1905,6292428,47.516231,14.550072
Austria,1906,6357019,47.516231,14.550072
Austria,1907,6422273,47.516231,14.550072
Austria,1908,6488197,47.516231,14.550072
Austria,1909,6538011,47.516231,14.550072
Austria,1910,6571589,47.516231,14.550072
Austria,1911,6588805,47.516231,14.550072
Austria,1912,6589531,47.516231,14.550072
Austria,1913,6573639,47.516231,14.550072
Austria,1914,6557784,47.516231,14.550072
Austria,1915,6541968,47.516231,14.550072
Austria,1916,6526190,47.516231,14.550072
